time,sim_1
1.000000000000000000e+00,1.346900965985190624e+02
2.000000000000000000e+00,6.360533049819979823e+01
3.000000000000000000e+00,2.999935683683327525e+01
4.000000000000000000e+00,1.417711539957119271e+01
5.000000000000000000e+00,6.678949694418118810e+00
6.000000000000000000e+00,3.128894019056926101e+00
7.000000000000000000e+00,1.870724636745720870e+00
8.000000000000000000e+00,5.010529215962293392e+01
9.000000000000000000e+00,1.521796309483210337e+02
1.000000000000000000e+01,2.564153171273709972e+02
1.100000000000000000e+01,3.102778205433814946e+02
1.200000000000000000e+01,2.518090659736701298e+02
1.300000000000000000e+01,1.186121285066747078e+02
1.400000000000000000e+01,5.418925065699657040e+01
1.500000000000000000e+01,2.493631908220632099e+01
1.600000000000000000e+01,1.181788994618330690e+01
1.700000000000000000e+01,5.631045685849712434e+00
1.800000000000000000e+01,2.687713695436612760e+00
1.900000000000000000e+01,3.846757026908523169e+00
2.000000000000000000e+01,5.631208467609701529e+01
2.100000000000000000e+01,1.532644603876591702e+02
2.200000000000000000e+01,2.456737512472163303e+02
2.300000000000000000e+01,2.869420601214625890e+02
2.400000000000000000e+01,2.147849446282384918e+02
2.500000000000000000e+01,9.059312392445278306e+01
2.600000000000000000e+01,3.614159860629052190e+01
2.700000000000000000e+01,1.404518307319855630e+01
2.800000000000000000e+01,5.321168782386690665e+00
2.900000000000000000e+01,1.916998111265274529e+00
3.000000000000000000e+01,1.050661157970285073e-02
3.100000000000000000e+01,2.039111118991489846e+01
3.200000000000000000e+01,8.839554028791658880e+01
3.300000000000000000e+01,1.668386311746089063e+02
3.400000000000000000e+01,2.102422997586988060e+02
3.500000000000000000e+01,1.900780840380461996e+02
3.600000000000000000e+01,8.350379412202335061e+01
3.700000000000000000e+01,1.988695143436482127e+01
3.800000000000000000e+01,2.880905216775825561e+00
3.900000000000000000e+01,1.717537744645914605e-02
4.000000000000000000e+01,4.374464227137231931e-01
4.100000000000000000e+01,5.173063396874045594e+00
4.200000000000000000e+01,3.952030965062350987e+01
4.300000000000000000e+01,8.431498045495544602e+01
4.400000000000000000e+01,1.003160302795240995e+02
4.500000000000000000e+01,8.674215532073245072e+01
4.600000000000000000e+01,4.040656214388825163e+01
4.700000000000000000e+01,8.920358420457462356e-02
4.800000000000000000e+01,1.472932470751687895e+01
4.900000000000000000e+01,3.158618003124550810e+01
5.000000000000000000e+01,4.567235537674488199e+01
5.100000000000000000e+01,1.109709467235506537e+02
5.200000000000000000e+01,1.496917678935231208e+02
5.300000000000000000e+01,9.318495502064119762e+01
5.400000000000000000e+01,1.202275719899484585e+01
5.500000000000000000e+01,1.624711240455587813e+01
5.600000000000000000e+01,6.298414343391879555e+01
5.700000000000000000e+01,8.534915637952138923e+01
5.800000000000000000e+01,1.078913041823099093e+02
5.900000000000000000e+01,1.549832672032328844e+02
6.000000000000000000e+01,1.023401640960866104e+02
6.100000000000000000e+01,2.699254807486152785e+01
6.200000000000000000e+01,4.963721885466758188e+00
6.300000000000000000e+01,2.767406044972527956e-01
6.400000000000000000e+01,1.448890773098397977e-01
6.500000000000000000e+01,2.112386791718959156e+00
6.600000000000000000e+01,2.834743483780357920e+01
6.700000000000000000e+01,7.606915148413524719e+01
6.800000000000000000e+01,1.011998763608875294e+02
6.900000000000000000e+01,9.669084428886480964e+01
7.000000000000000000e+01,5.954657432642731862e+01
7.100000000000000000e+01,5.180635230007053060e+00
7.200000000000000000e+01,5.672504560271548257e+00
7.300000000000000000e+01,2.079781427636262237e+01
7.400000000000000000e+01,2.783926898944542572e+01
7.500000000000000000e+01,6.540604304131569791e+01
7.600000000000000000e+01,1.155149786810653012e+02
7.700000000000000000e+01,9.746054722831449624e+01
7.800000000000000000e+01,2.929639937369195479e+01
7.900000000000000000e+01,2.029701617075294173e+00
8.000000000000000000e+01,5.426990305561236738e+01
8.100000000000000000e+01,9.641997623151989671e+01
8.200000000000000000e+01,1.195021149287596671e+02
8.300000000000000000e+01,1.886312053620019640e+02
8.400000000000000000e+01,1.772389395923702295e+02
8.500000000000000000e+01,7.549782283706346675e+01
8.600000000000000000e+01,2.840995414322221890e+01
8.700000000000000000e+01,9.902628208662967779e+00
8.800000000000000000e+01,3.165010298232012520e+00
8.900000000000000000e+01,9.485429983973465706e-01
9.000000000000000000e+01,9.821961361052956585e-01
9.100000000000000000e+01,3.456264204546157970e+01
9.200000000000000000e+01,1.079615035213254401e+02
9.300000000000000000e+01,1.749571031063053681e+02
9.400000000000000000e+01,1.962197629079160492e+02
9.500000000000000000e+01,1.527193844615564160e+02
9.600000000000000000e+01,5.073919001957852970e+01
9.700000000000000000e+01,1.049922087761868283e+01
9.800000000000000000e+01,1.000724259033616725e+00
9.900000000000000000e+01,5.296820827743991406e-02
1.000000000000000000e+02,7.401601137022486565e-01
1.010000000000000000e+02,1.553597562838584523e+01
1.020000000000000000e+02,6.191578487613877257e+01
1.030000000000000000e+02,9.847344616225703362e+01
1.040000000000000000e+02,1.030343345523747161e+02
1.050000000000000000e+02,7.748526736600841502e+01
1.060000000000000000e+02,1.997296578113299503e+01
1.070000000000000000e+02,1.045588639499564598e+00
1.080000000000000000e+02,1.418410691683953218e+01
1.090000000000000000e+02,2.339355527745252061e+01
1.100000000000000000e+02,4.410349445657030998e+01
1.110000000000000000e+02,1.044653156817686579e+02
1.120000000000000000e+02,1.204235857691723055e+02
1.130000000000000000e+02,6.317857802126926714e+01
